Airfoil,Camber,Camber_Location,Thickness,Re,Mach,Alpha,cl,cd,cm
0006,0,0,6,75000,0.25,-19,-0.821869,0.289406,0.112758
0006,0,0,6,75000,0.25,-18,-0.807285,0.268743,0.109326
0006,0,0,6,75000,0.25,-17,-0.792841,0.248575,0.105914
0006,0,0,6,75000,0.25,-16,-0.778397,0.22887,0.10244
0006,0,0,6,75000,0.25,-15,-0.76412,0.209841,0.098958
0006,0,0,6,75000,0.25,-14,-0.751078,0.191321,0.095267
0006,0,0,6,75000,0.25,-13,-0.739133,0.17301,0.090964
0006,0,0,6,75000,0.25,-12,-0.728505,0.154231,0.085015
0006,0,0,6,75000,0.25,-11,-0.718986,0.136617,0.078784
0006,0,0,6,75000,0.25,-10,-0.713662,0.116276,0.066007
0006,0,0,6,75000,0.25,-9,-0.710357,0.092409,0.042735
0006,0,0,6,75000,0.25,-8,-0.705584,0.05961,0.004075
0006,0,0,6,75000,0.25,-7,-0.674637,0.036442,-0.004682
0006,0,0,6,75000,0.25,-6,-0.613425,0.024923,-0.003302
0006,0,0,6,75000,0.25,-5,-0.531331,0.020026,-0.002045
0006,0,0,6,75000,0.25,-4,-0.43264,0.017598,-0.001298
0006,0,0,6,75000,0.25,-3,-0.327313,0.016191,-0.000807
0006,0,0,6,75000,0.25,-2,-0.219089,0.015446,-0.00044
0006,0,0,6,75000,0.25,-1,-0.109548,0.015211,-0.000127
0006,0,0,6,75000,0.25,0,0.000535,0.015447,0.000185
0006,0,0,6,75000,0.25,1,0.110621,0.016196,0.00055
0006,0,0,6,75000,0.25,2,0.220169,0.017606,0.001037
0006,0,0,6,75000,0.25,3,0.32841,0.020041,0.001782
0006,0,0,6,75000,0.25,4,0.433745,0.024959,0.003039
0006,0,0,6,75000,0.25,5,0.532418,0.036542,0.004387
0006,0,0,6,75000,0.25,6,0.614647,0.060431,-0.005391
0006,0,0,6,75000,0.25,7,0.677147,0.092414,-0.042958
0006,0,0,6,75000,0.25,8,0.705458,0.116449,-0.066645
0006,0,0,6,75000,0.25,9,0.709055,0.136306,-0.078618
0006,0,0,6,75000,0.25,10,0.711699,0.154027,-0.085027
0006,0,0,6,75000,0.25,11,0.717223,0.172315,-0.090558
0006,0,0,6,75000,0.25,12,0.725982,0.191001,-0.095193
0006,0,0,6,75000,0.25,13,0.73751,0.209033,-0.09859
0006,0,0,6,75000,0.25,14,0.748097,0.228362,-0.102265
0006,0,0,6,75000,0.25,15,0.762171,0.247613,-0.105505
0006,0,0,6,75000,0.25,16,0.775225,0.267739,-0.108918
0006,0,0,6,75000,0.25,17,0.789696,0.288371,-0.112348
0006,0,0,6,75000,0.25,18,0.804206,0.309473,-0.11582
0006,0,0,6,75000,0.25,19,0.818474,0.331118,-0.119394
0006,0,0,6,75000,0.25,20,0.832582,0.337057,0.121177
0006,0,0,6,75000,0.35,-20,-0.846594,0.314775,0.117296
0006,0,0,6,75000,0.35,-19,-0.831384,0.293079,0.113518
0006,0,0,6,75000,0.35,-18,-0.816002,0.271925,0.109803
0006,0,0,6,75000,0.35,-17,-0.800439,0.251407,0.10616
0006,0,0,6,75000,0.35,-16,-0.785162,0.231386,0.10248
0006,0,0,6,75000,0.35,-15,-0.770022,0.211723,0.098587
0006,0,0,6,75000,0.35,-14,-0.754925,0.192936,0.094703
0006,0,0,6,75000,0.35,-13,-0.742041,0.174067,0.089981
0006,0,0,6,75000,0.35,-12,-0.729335,0.155639,0.084489
0006,0,0,6,75000,0.35,-11,-0.719422,0.137256,0.077489
0006,0,0,6,75000,0.35,-10,-0.712379,0.117598,0.066312
0006,0,0,6,75000,0.35,-9,-0.707626,0.095072,0.046416
0006,0,0,6,75000,0.35,-8,-0.703838,0.06488,0.010091
0006,0,0,6,75000,0.35,-7,-0.683822,0.039374,-0.00512
0006,0,0,6,75000,0.35,-6,-0.627846,0.026019,-0.00432
0006,0,0,6,75000,0.35,-5,-0.545705,0.020226,-0.002604
0006,0,0,6,75000,0.35,-4,-0.446388,0.017672,-0.001586
0006,0,0,6,75000,0.35,-3,-0.338026,0.016264,-0.000953
0006,0,0,6,75000,0.35,-2,-0.226266,0.015528,-0.000502
0006,0,0,6,75000,0.35,-1,-0.113124,0.015298,-0.00012
0006,0,0,6,75000,0.35,0,0.000508,0.01553,0.00026
0006,0,0,6,75000,0.35,1,0.114153,0.016269,0.000711
0006,0,0,6,75000,0.35,2,0.227293,0.017679,0.001345
0006,0,0,6,75000,0.35,3,0.339051,0.020241,0.002365
0006,0,0,6,75000,0.35,4,0.447403,0.026059,0.004078
0006,0,0,6,75000,0.35,5,0.546706,0.039459,0.004848
0006,0,0,6,75000,0.35,6,0.628956,0.065032,-0.010528
0006,0,0,6,75000,0.35,7,0.684532,0.093848,-0.043876
0006,0,0,6,75000,0.35,8,0.704061,0.117309,-0.065985
0006,0,0,6,75000,0.35,9,0.707045,0.137392,-0.077918
0006,0,0,6,75000,0.35,10,0.710496,0.155216,-0.084216
0006,0,0,6,75000,0.35,11,0.717525,0.173543,-0.089693
0006,0,0,6,75000,0.35,12,0.727146,0.192128,-0.094261
0006,0,0,6,75000,0.35,13,0.739178,0.211324,-0.098453
0006,0,0,6,75000,0.35,14,0.753307,0.230683,-0.102181
0006,0,0,6,75000,0.35,15,0.767535,0.250674,-0.105862
0006,0,0,6,75000,0.35,16,0.782703,0.271169,-0.109499
0006,0,0,6,75000,0.35,17,0.798035,0.292208,-0.113169
0006,0,0,6,75000,0.35,18,0.813396,0.313792,-0.116904
0006,0,0,6,75000,0.35,19,0.828615,0.335903,-0.120722
0006,0,0,6,75000,0.35,20,0.843518,0.34498,0.124217
0006,0,0,6,75000,0.45,-20,-0.865989,0.321794,0.119854
0006,0,0,6,75000,0.45,-19,-0.849185,0.300033,0.116037
0006,0,0,6,75000,0.45,-18,-0.834441,0.277426,0.111524
0006,0,0,6,75000,0.45,-17,-0.815359,0.256797,0.107803
0006,0,0,6,75000,0.45,-16,-0.800378,0.235776,0.103496
0006,0,0,6,75000,0.45,-15,-0.782527,0.215573,0.099281
0006,0,0,6,75000,0.45,-14,-0.76605,0.196057,0.09489
0006,0,0,6,75000,0.45,-13,-0.750808,0.176756,0.089918
0006,0,0,6,75000,0.45,-12,-0.736333,0.157836,0.08415
0006,0,0,6,75000,0.45,-11,-0.724011,0.138451,0.076256
0006,0,0,6,75000,0.45,-10,-0.714015,0.118978,0.065748
0006,0,0,6,75000,0.45,-9,-0.707783,0.096306,0.046219
0006,0,0,6,75000,0.45,-8,-0.703741,0.070328,0.017665
0006,0,0,6,75000,0.45,-7,-0.691296,0.043185,-0.005072
0006,0,0,6,75000,0.45,-6,-0.643611,0.027977,-0.005817
0006,0,0,6,75000,0.45,-5,-0.567514,0.020746,-0.003506
0006,0,0,6,75000,0.45,-4,-0.46757,0.017819,-0.001999
0006,0,0,6,75000,0.45,-3,-0.354716,0.016351,-0.001109
0006,0,0,6,75000,0.45,-2,-0.237554,0.015597,-0.000538
0006,0,0,6,75000,0.45,-1,-0.118824,0.015362,-0.000119
0006,0,0,6,75000,0.45,0,0.000507,0.015599,0.000302
0006,0,0,6,75000,0.45,1,0.119837,0.016355,0.00088
0006,0,0,6,75000,0.45,2,0.238534,0.017826,0.00177
0006,0,0,6,75000,0.45,3,0.3557,0.020762,0.00328
0006,0,0,6,75000,0.45,4,0.468542,0.028017,0.005589
